Id;NAME;DEGREE;DEP-DEGREE;CC;ONE-WAY-DEPENDENCY;ONE-WAY-INDEPENDENCY;TWO-WAY-DEPENDENCY;TWO-WAY-INDEPENDENCY;OVERLAPNESS;ZONE-ID;ZONE-SIZE;ZONE-CATEGORY;ZONE-DENSITY;MEMBERSHIP;INNER-MEMBERSHIP;LIAISONSHIP;CO-LIAISONSHIP;SUPER;SUB;OVERLAP;ZONE-MODULARITY
0;Pieter Abbeel .B.;19;5,42046805685785;0,286549707602339;0;3;1;15;0,857142857142857;1;10;TOP;0,377777777777778;5;0;3;1;0;3;1;0,570046473984319
1;Krste Asanovic .B.;12;4,29768759106895;0,424242424242424;1;4;0;7;0,888888888888889;2;9;INTER;0,611111111111111;9;1;4;3;1;5;2;0,226980956266494
2;Babak Ayazifar .B.;1;0,0952380952380952;0;1;0;0;0;0;3;2;BOTTOM;1;2;1;0;0;1;0;0;0,0673435029701474
3;Jonathan Bachrach .B.;4;0,567852183359651;1;3;0;0;1;0;4;4;BOTTOM;1;5;4;0;0;4;0;0;0,123995027980579
4;Ruzena Bajcsy .B.;7;1,6079847286369;0,19047619047619;0;1;0;6;1;5;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,307692307692308
5;David Bamman .B.;1;0,0285714285714286;0;1;0;0;0;0;6;2;BOTTOM;1;3;2;0;0;2;0;0;0,0202030508910442
6;Brian A. Barsky .B.;1;0,6;0;0;0;1;0;0;7;2;INDEPENDENT;1;1;0;0;0;0;0;0;0,6
7;Peter Bartlett .B.;1;0,119047619047619;0;1;0;0;0;0;8;2;BOTTOM;1;2;1;0;0;1;0;0;0,0841793787126842
8;Alexandre M. Bayen .B.;8;2,18268251138399;0,5;0;2;0;6;1;9;4;TOP;0,833333333333333;4;0;3;0;0;2;1;0,257614106140984
12;Aydin Buluç .B.;7;1,11797890401938;0,571428571428571;2;0;0;5;0;10;3;BOTTOM;1;3;2;0;0;2;0;0;0,176776695296637
13;John F. Canny .B.;4;1,59664570230608;0;0;1;1;2;0,666666666666667;11;3;TOP;0,666666666666667;2;0;1;0;0;1;0;0,7
14;Alessandro Chiesa .B.;3;0,900731158605174;0,333333333333333;2;0;0;1;0;12;3;INDEPENDENT;1;2;1;0;0;0;0;0;0,435142634576337
15;Michael J. Clancy .B.;4;0,903193088829735;0,5;3;0;0;1;0;13;4;BOTTOM;1;3;2;0;0;2;0;0;0,331907264638584
16;Phillip Colella .B.;3;1,21774338752948;1;2;0;1;0;0;14;4;BOTTOM;1;3;2;0;0;2;0;0;0,282295032922167
17;David E. Culler .B.;21;5,73662179887689;0,3;0;3;0;18;1;15;8;TOP;0,464285714285714;4;0;3;0;0;3;0;0,337002439291375
18;Trevor Darrell .B.;10;2,2724906307038;0,222222222222222;2;1;0;7;0,5;16;5;INTER;0,9;4;1;2;0;1;1;1;0,433757270642728
19;James Demmel .B.;14;5,10641479822005;0,318681318681319;1;5;0;8;0,909090909090909;17;10;INTER;0,444444444444444;10;1;4;4;1;5;3;0,285232731566189
20;John DeNero .B.;4;0,733947112264763;0,5;2;0;0;2;0;18;3;BOTTOM;1;2;1;0;0;1;0;0;0,310437123447753
21;Anca D. Dragan .B.;7;1,60587444084941;0,238095238095238;0;0;0;7;0;19;1;INDEPENDENT;1;1;0;0;0;0;0;0;0
22;Prabal Dutta .B.;10;2,34937809125505;0,577777777777778;2;1;0;7;0,5;20;4;INTER;1;4;2;1;0;2;1;0;0,232827587081869
23;Alexei A. Efros .B.;6;1,00766060877772;0,266666666666667;2;0;0;4;0;21;3;BOTTOM;1;4;3;0;0;3;0;0;0,20548402188327
24;Laurent El Ghaoui .B.;5;0,814337068160598;0,3;1;0;0;4;0;22;2;BOTTOM;1;2;1;0;0;1;0;0;0,0912395846692319
25;Richard J. Fateman .B.;1;0,0714285714285714;0;1;0;0;0;0;23;2;BOTTOM;1;4;3;0;0;3;0;0;0,0505076272276105
26;Jerome A. Feldman .B.;3;1,09159482758621;0,333333333333333;2;1;0;0;0,5;24;4;INTER;0,666666666666667;6;4;1;0;4;1;0;0,250981285210295
27;Domenico Ferrari .B.;1;0,0170940170940171;0;1;0;0;0;0;25;2;BOTTOM;1;2;1;0;0;1;0;0;0,0120872954048983
28;Armando Fox .B.;18;3,33416745505817;0,235294117647059;1;1;0;16;0,666666666666667;26;5;INTER;0,9;5;1;3;0;1;1;2;0,154608194184165
29;Gerald Friedland .B.;6;0,495531274200767;0,0666666666666667;1;0;0;5;0;27;2;BOTTOM;1;2;1;0;0;1;0;0;0,120358601053029
30;Jack L. Gallant .B.;1;0,0153846153846154;0;1;0;0;0;0;28;2;BOTTOM;1;2;1;0;0;1;0;0;0,0108785658644084
31;Dan Garcia .B.;4;1,66096910336041;0,5;0;0;1;3;0;29;2;INDEPENDENT;1;1;0;0;0;0;0;0;0,6
32;Sanjam Garg .B.;1;0,0333333333333333;0;1;0;0;0;0;30;2;BOTTOM;1;2;1;0;0;1;0;0;0,0235702260395516
34;Ken Goldberg .B.;10;2,58897236556685;0,377777777777778;0;2;0;8;1;31;7;TOP;0,380952380952381;5;0;4;0;0;3;1;0,201173855505354
35;Shafi Goldwasser .B.;3;1,2958152958153;0,333333333333333;0;1;1;1;0,666666666666667;32;3;INDEPENDENT;1;2;0;0;1;0;0;0;0,615384615384615
36;Joseph Gonzalez .B.;19;3,38786370369946;0,345029239766082;2;0;0;17;0;33;3;BOTTOM;1;3;2;0;0;2;0;0;0,0927055162995216
37;Susan L. Graham .B.;7;2,192909597202;0,238095238095238;0;3;0;4;1;34;5;TOP;0,7;4;0;3;0;0;2;1;0,443120483266427
39;Moritz Hardt .B.;6;2,46360708534622;0,0666666666666667;0;2;0;4;1;35;4;TOP;0,666666666666667;4;0;3;0;0;2;1;0,284092526817915
40;Michael A. Harrison .B.;4;1,00919177322686;0,666666666666667;1;0;0;3;0;36;2;BOTTOM;1;2;1;0;0;1;0;0;0,187175324431733
41;Bjoern Hartmann .B.;9;2,79712269756387;0,388888888888889;0;1;1;7;0,666666666666667;37;5;TOP;0,6;2;0;0;1;0;1;0;0,429100139083276
42;Brian Harvey .B.;1;0,6;0;0;0;1;0;0;29;2;INDEPENDENT;1;1;0;0;0;0;0;0;0,6
43;Marti A. Hearst .B.;9;1,14986086175227;0,111111111111111;0;0;0;9;0;38;1;INDEPENDENT;1;1;0;0;0;0;0;0;0
44;Joseph M. Hellerstein .B.;24;6,00264433730095;0,231884057971015;1;2;0;21;0,8;39;4;INTER;1;4;1;0;2;1;2;0;0,185922974910031
45;Paul N. Hilfinger .B.;4;1,24022675574196;0,666666666666667;2;0;1;1;0;14;4;BOTTOM;1;3;2;0;0;2;0;0;0,282295032922167
48;Anthony D. Joseph .B.;16;3,56953710018163;0,475;2;1;0;13;0,5;40;4;INTER;0,666666666666667;4;2;1;0;2;1;0;0,108084421501035
49;William Kahan .B.;4;2,33096563300645;0,333333333333333;1;2;0;1;0,8;41;4;INTER;0,666666666666667;5;2;1;1;2;2;0;0,258854027612993
50;Richard M. Karp .B.;15;1,83527937012172;0,257142857142857;2;0;0;13;0;42;3;BOTTOM;1;3;2;0;0;2;0;0;0,130766322548197
51;Randy H. Katz .B.;22;7,43485697718462;0,337662337662338;0;2;0;20;1;43;5;TOP;0,5;4;0;3;0;0;2;1;0,139390499192315
53;John Kubiatowicz .B.;17;3,8810155418076;0,367647058823529;0;1;0;16;1;44;7;INTER;0,571428571428571;4;0;3;0;2;0;0;0,173938725948394
54;Edward A. Lee .B.;7;1,3170491717424;0,761904761904762;1;0;0;6;0;45;2;BOTTOM;1;2;1;0;0;1;0;0;0,0958788855846166
55;Sergey Levine .B.;10;2,84636210985004;0,266666666666667;0;1;1;8;0,666666666666667;1;10;TOP;0,377777777777778;2;0;0;1;0;1;0;0,570046473984319
57;Michael Lustig .B.;4;0,455432221347543;0,5;3;0;0;1;0;46;4;BOTTOM;1;5;4;0;0;4;0;0;0,0804492745062539
58;Jitendra Malik .B.;15;4,1186113508108;0,180952380952381;0;3;0;12;1;47;6;TOP;0,466666666666667;7;0;6;0;0;3;3;0,302052464013071
59;Ren Ng .B.;4;0,970635508691935;0,5;1;1;0;2;0,666666666666667;48;3;INTER;0,666666666666667;3;1;1;0;1;1;0;0,185470773738917
62;Beresford N. Parlett .B.;2;0,530921459492888;1;2;0;0;0;0;49;3;BOTTOM;1;4;3;0;0;3;0;0;0,192847303959967
63;David A. Patterson .B.;29;10,3711024431765;0,251231527093596;0;5;0;24;1;50;14;TOP;0,395604395604396;8;0;7;0;0;7;0;0,360925834550309
64;Eric Paulos .B.;2;0,819767441860465;0;0;0;1;1;0;11;3;TOP;0,666666666666667;1;0;0;0;0;0;0;0,7
65;Vern Paxson .B.;10;1,68219581775813;0,377777777777778;2;1;0;7;0,5;51;4;INTER;0,666666666666667;4;2;1;0;2;1;0;0,194206753167284
66;Kristofer S. J. Pister .B.;12;1,38098634007099;0,363636363636364;1;0;0;11;0;52;2;BOTTOM;1;4;3;0;0;3;0;0;0,0282842712474619
67;Raluca Ada Popa .B.;2;0,146628306077125;1;2;0;0;0;0;53;3;BOTTOM;1;4;3;0;0;3;0;0;0,0557655190210211
68;Jonathan Ragan-Kelley .B.;5;1,03594951738968;0,4;3;0;0;2;0;54;4;BOTTOM;1;4;3;0;0;3;0;0;0,14855184478709
69;Prasad Raghavendra .B.;5;1,75900621118012;0,1;0;1;0;4;1;55;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,214285714285714
70;Kannan Ramchandran .B.;8;4,0918940590571;0,107142857142857;0;4;0;4;1;56;6;TOP;0,333333333333333;6;0;5;0;0;4;1;0,304557276352646
71;Satish Rao .B.;5;0,837511901993999;0,3;1;0;0;4;0;57;2;BOTTOM;1;4;3;0;0;3;0;0;0,058925565098879
72;Sylvia Ratnasamy .B.;9;2,47922265119227;0,444444444444444;2;1;0;6;0,5;58;4;INTER;0,833333333333333;4;2;0;1;2;1;0;0,236811311708529
73;Benjamin Recht .B.;7;2,2951155828052;0,19047619047619;0;2;0;5;1;59;4;TOP;0,666666666666667;4;0;3;0;0;2;1;0,170957612924905
74;Lawrence A. Rowe .B.;3;0,260852546146664;0,333333333333333;1;0;0;2;0;60;2;BOTTOM;1;2;1;0;0;1;0;0;0,130542790372901
75;Jaijeet Roychowdhury .B.;1;0,0175438596491228;0;1;0;0;0;0;61;2;BOTTOM;1;2;1;0;0;1;0;0;0,0124053821260798
76;Stuart J. Russell .B.;7;2,54720935540208;0,19047619047619;1;2;0;4;0,8;62;4;INTER;0,5;4;1;2;0;1;2;0;0,0969245560412635
78;Koushik Sen .B.;10;1,40970466508568;0,511111111111111;2;0;0;8;0;63;3;BOTTOM;1;5;4;0;0;4;0;0;0,0500606570751538
79;Carlo H. Séquin .B.;2;0,0824709257646396;1;1;0;0;1;0;64;2;BOTTOM;1;2;1;0;0;1;0;0;0,0329983164553722
80;Sanjit A. Seshia .B.;12;2,94297941756454;0,272727272727273;0;1;1;10;0,666666666666667;65;5;TOP;0,4;2;0;1;0;0;1;0;0,423347008640497
81;Scott Shenker .B.;20;8,96372959571968;0,357894736842105;1;5;0;14;0,909090909090909;66;10;INTER;0,4;7;1;1;4;1;5;0;0,377413970692742
82;Jonathan Richard Shewchuk .B.;2;0,0402049664958613;0;2;0;0;0;0;67;3;BOTTOM;0,666666666666667;3;2;0;0;2;0;0;0,0138648388467951
85;Dawn Song .B.;2;0,0487709599070679;1;2;0;0;0;0;68;3;BOTTOM;1;4;3;0;0;3;0;0;0,0672331037849504
86;Yun S. Song .B.;1;0,0134228187919463;0;1;0;0;0;0;69;2;BOTTOM;1;2;1;0;0;1;0;0;0,00949136619042344
87;Costas J. Spanos .B.;3;0,740448343079922;0,666666666666667;2;0;0;1;0;70;3;BOTTOM;1;3;2;0;0;2;0;0;0,0661620380057588
88;Ion Stoica .B.;26;11,3841098023676;0,255384615384615;0;11;0;15;1;71;16;TOP;0,375;13;0;12;0;0;11;1;0,552168012970735
89;Michael Stonebraker .B.;13;3,49364464680016;0,282051282051282;0;2;0;11;1;72;7;TOP;0,428571428571429;5;0;4;0;0;2;2;0,225674567926191
90;Bernd Sturmfels .B.;2;0,145408163265306;0;1;0;0;1;0;73;2;BOTTOM;1;2;1;0;0;1;0;0;0,0831890330807703
91;Claire Tomlin .B.;3;0,357142857142857;0,333333333333333;2;0;0;1;0;74;3;BOTTOM;1;4;3;0;0;3;0;0;0,0808122035641769
92;Luca Trevisan .B.;2;0,791925465838509;0;1;0;0;1;0;75;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,252538136138053
96;Martin J. Wainwright .B.;6;1,86698977263993;0,2;0;0;1;5;0;76;3;TOP;0,666666666666667;1;0;0;0;0;0;0;0,46875
97;Laura Waller .B.;2;0,535714285714286;0;1;0;0;1;0;77;2;BOTTOM;1;3;2;0;0;2;0;0;0,176776695296637
98;Jean C. Walrand .B.;2;0,0783882783882784;0;2;0;0;0;0;78;3;BOTTOM;0,666666666666667;3;2;0;0;2;0;0;0,0264338983621139
99;John Wawrzynek .B.;16;3,94775812376512;0,375;2;2;0;12;0,666666666666667;79;7;INTER;0,571428571428571;6;3;0;2;2;2;0;0,169332422730424
100;Katherine A. Yelick .B.;15;5,29574890223983;0,352380952380952;0;5;0;10;1;80;13;TOP;0,346153846153846;8;0;7;0;0;4;3;0,417017341532843
102;Bin Yu .B.;1;0,307692307692308;0;1;0;0;0;0;81;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,217571317288168
103;Maneesh Agrawala .S.;10;2,97166272084704;0,0888888888888889;0;2;1;7;0,8;37;5;TOP;0,6;5;0;3;1;0;2;2;0,429100139083276
104;Alex Aiken .S.;9;1,3796353013589;0,166666666666667;0;0;0;9;0;82;1;INDEPENDENT;1;1;0;0;0;0;0;0;0
105;Peter Bailis .S.;8;1,48430808754225;0,357142857142857;2;0;0;6;0;83;3;BOTTOM;1;3;2;0;0;2;0;0;0,121002229935666
106;Clark W. Barrett .S.;6;3,33555020448725;0,266666666666667;0;3;1;2;0,857142857142857;84;8;TOP;0,357142857142857;4;0;1;2;0;3;0;0,617904163730554
107;Gill Bejerano .S.;1;0,0434782608695652;0;1;0;0;0;0;85;2;INDEPENDENT;1;2;1;0;0;0;0;0;0,0307437730950673
109;Jeannette Bohg .S.;1;0,333333333333333;0;1;0;0;0;0;86;2;BOTTOM;1;6;5;0;0;5;0;0;0,235702260395516
110;Dan Boneh .S.;13;3,33814750604625;0,217948717948718;0;3;0;10;1;87;7;TOP;0,571428571428571;8;0;7;0;0;4;3;0,215165547861512
111;Emma Brunskill .S.;3;0,104777692262151;0,333333333333333;1;0;0;2;0;88;2;BOTTOM;1;3;2;0;0;2;0;0;0,0573329822583687
112;Moses Charikar .S.;8;1,68205172444303;0,178571428571429;0;0;0;8;0;89;1;INDEPENDENT;1;1;0;0;0;0;0;0;0
113;William J. Dally .S.;8;2,29286909057133;0,285714285714286;0;1;0;7;1;90;2;INDEPENDENT;1;2;0;1;0;0;0;0;0,0434782608695652
115;Zakir Durumeric .S.;1;0,2;0;1;0;0;0;0;91;2;BOTTOM;1;4;3;0;0;3;0;0;0,141421356237309
116;Dawson R. Engler .S.;2;0,178308823529412;0;1;0;0;1;0;92;2;BOTTOM;1;2;1;0;0;1;0;0;0,101015254455221
